Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Medal
Olga Orban-Szabo (Orbn-Szab),F,33.0,161.0,55.0,Romania,1972,Summer,Munich,Fencing,Bronze
Simon Orchard,M,26.0,186.0,82.0,Australia,2012,Summer,London,Hockey,Bronze
"Maria Johanna Martina ""Miriam"" Oremans (-Vermeer)",F,28.0,169.0,65.0,Netherlands,2000,Summer,Sydney,Tennis,Silver
Vittorio Orlandi,M,33.0,171.0,65.0,Italy,1972,Summer,Munich,Equestrianism,Bronze
Vladimir Aleksandrovich Orlov,M,25.0,180.0,75.0,Soviet Union,1964,Winter,Innsbruck,Speed Skating,Silver
Agafia Orlov-Buhaev-Constantin,F,29.0,172.0,61.0,Romania,1984,Summer,Los Angeles,Canoeing,Gold
Bernard Pawe Ormanowski,M,20.0,174.0,68.0,Poland,1928,Summer,Amsterdam,Rowing,Bronze
Luis Patricio Ormazbal Mozo,M,21.0,170.0,65.0,Chile,2000,Summer,Sydney,Football,Bronze
Mark Sebastian Clive Ormrod,M,21.0,185.0,73.0,Australia,2004,Summer,Athina,Athletics,Silver
Mikael Gustaf rn,M,22.0,195.0,95.0,Sweden,1984,Summer,Los Angeles,Swimming,Bronze
Bror Karl Stefan rnskog,M,24.0,180.0,79.0,Sweden,1994,Winter,Lillehammer,Ice Hockey,Gold
"Corneliu ""Cornel"" Oros",M,30.0,190.0,80.0,Romania,1980,Summer,Moskva,Volleyball,Bronze
Rozalia Oros (-Husti/-Huszti),F,20.0,168.0,55.0,Romania,1984,Summer,Los Angeles,Fencing,Silver
Pl Orosz,M,26.0,177.0,78.0,Hungary,1960,Summer,Roma,Football,Bronze
Alejandra Orozco Loza,F,15.0,156.0,47.0,Mexico,2012,Summer,London,Diving,Silver
Richard Brooks Orpik,M,29.0,188.0,99.0,United States,2010,Winter,Vancouver,Ice Hockey,Silver
"Victoria Elaine ""Vickie"" Orr (-Wiley)",F,25.0,190.0,75.0,United States,1992,Summer,Barcelona,Basketball,Bronze
Brian Ernest Orser,M,22.0,170.0,61.0,Canada,1984,Winter,Sarajevo,Figure Skating,Silver
Brian Ernest Orser,M,26.0,170.0,61.0,Canada,1988,Winter,Calgary,Figure Skating,Silver
Raimundo Bibiani Orsi,M,26.0,169.0,68.0,Argentina,1928,Summer,Amsterdam,Football,Silver
Antonio Carlos Ortega Prez,M,29.0,184.0,86.0,Spain,2000,Summer,Sydney,Handball,Bronze
Ariel Arnaldo Ortega,M,22.0,170.0,64.0,Argentina,1996,Summer,Atlanta,Football,Silver
Orlando Ortega Alejo,M,25.0,182.0,77.0,Spain,2016,Summer,Rio de Janeiro,Athletics,Silver
Idalys Ortz Bocourt,F,18.0,180.0,95.0,Cuba,2008,Summer,Beijing,Judo,Bronze
Idalys Ortz Bocourt,F,22.0,180.0,95.0,Cuba,2012,Summer,London,Judo,Gold
Idalys Ortz Bocourt,F,26.0,180.0,95.0,Cuba,2016,Summer,Rio de Janeiro,Judo,Silver
Ignacio Ortz,M,29.0,180.0,76.0,Argentina,2016,Summer,Rio de Janeiro,Hockey,Gold
Luis Ortz Flores,M,18.0,175.0,60.0,Puerto Rico,1984,Summer,Los Angeles,Boxing,Silver
"Matilde ""Mati"" Ortz Reyes",F,21.0,174.0,67.0,Spain,2012,Summer,London,Water Polo,Silver
Tatiana Ortz Galicia,F,24.0,155.0,52.0,Mexico,2008,Summer,Beijing,Diving,Bronze
Yaima Ortz Charro,F,22.0,181.0,72.0,Cuba,2004,Summer,Athina,Volleyball,Bronze
Patrick Ortlieb,M,24.0,189.0,92.0,Austria,1992,Winter,Albertville,Alpine Skiing,Gold
George Washington F. Orton,M,27.0,169.0,65.0,Canada,1900,Summer,Paris,Athletics,Bronze
George Washington F. Orton,M,27.0,169.0,65.0,Canada,1900,Summer,Paris,Athletics,Gold
Rstm Orucov,M,24.0,179.0,73.0,Azerbaijan,2016,Summer,Rio de Janeiro,Judo,Silver
Vugar Narimanovich Orudzhov,M,20.0,155.0,54.0,Unified Team,1992,Summer,Barcelona,Wrestling,Bronze
Wilson Oruma,M,19.0,176.0,71.0,Nigeria,1996,Summer,Atlanta,Football,Gold
Selin Oruz,F,19.0,172.0,60.0,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Timur Oruz,M,21.0,186.0,87.0,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Bernice Jane Orwig,F,23.0,182.0,77.0,United States,2000,Summer,Sydney,Water Polo,Silver
Hans-Henrik rsted,M,25.0,186.0,76.0,Denmark,1980,Summer,Moskva,Cycling,Bronze
Timothy Leo O'Shannessey,M,24.0,182.0,77.0,Australia,1996,Summer,Atlanta,Cycling,Bronze
"Daniel Patrick ""Danny"" O'Shea",M,22.0,185.0,86.0,Canada,1968,Winter,Grenoble,Ice Hockey,Bronze
Glenn O'Shea,M,23.0,180.0,76.0,Australia,2012,Summer,London,Cycling,Silver
Shyril O'Steen,F,23.0,176.0,67.0,United States,1984,Summer,Los Angeles,Rowing,Gold
"Rachel Kealaonapua ""Keala"" O'Sullivan (-Watson)",F,17.0,165.0,57.0,United States,1968,Summer,Mexico City,Diving,Bronze
Shawn O'Sullivan,M,22.0,178.0,71.0,Canada,1984,Summer,Los Angeles,Boxing,Silver
Sonia O'Sullivan,F,30.0,175.0,55.0,Ireland,2000,Summer,Sydney,Athletics,Silver
Liliya Semenivna Osadcha,F,23.0,177.0,79.0,Soviet Union,1976,Summer,Montreal,Volleyball,Silver
Yoshihiko Osaki,M,21.0,176.0,68.0,Japan,1960,Summer,Roma,Swimming,Silver
Yoshihiko Osaki,M,21.0,176.0,68.0,Japan,1960,Summer,Roma,Swimming,Bronze
Akinobu Osako,M,27.0,170.0,80.0,Japan,1988,Summer,Seoul,Judo,Bronze
"Oludamola Bolanle ""Damola"" Osayomi",F,22.0,163.0,63.0,Nigeria,2008,Summer,Beijing,Athletics,Bronze
Agnes Osazuwa (-Olatunji),F,19.0,162.0,65.0,Nigeria,2008,Summer,Beijing,Athletics,Bronze
Harold Marion Osborn (Osborne-),M,25.0,181.0,73.0,United States,1924,Summer,Paris,Athletics,Gold
John Osborn,M,30.0,180.0,69.0,Great Britain,1976,Summer,Montreal,Sailing,Gold
Ruth Irene Osburn,F,20.0,170.0,59.0,United States,1932,Summer,Los Angeles,Athletics,Silver
Oscar dos Santos Emboaba Jnior,M,20.0,179.0,68.0,Brazil,2012,Summer,London,Football,Silver
Markus Tobias Oscarsson,M,23.0,184.0,86.0,Sweden,2000,Summer,Sydney,Canoeing,Silver
Markus Tobias Oscarsson,M,27.0,184.0,86.0,Sweden,2004,Summer,Athina,Canoeing,Gold
"Martinus Bernardus ""Tinus"" Osendarp",M,20.0,176.0,80.0,Netherlands,1936,Summer,Berlin,Athletics,Bronze
Ann Osgerby,F,17.0,161.0,53.0,Great Britain,1980,Summer,Moskva,Swimming,Silver
Stepan Mikhaylovich Oshchepkov,M,30.0,175.0,82.0,Soviet Union,1964,Summer,Tokyo,Canoeing,Gold
Kenkichi Oshima,M,23.0,175.0,67.0,Japan,1932,Summer,Los Angeles,Athletics,Bronze
Koichi Oshima,M,25.0,165.0,65.0,Japan,1992,Summer,Barcelona,Baseball,Bronze
Leonid Mikhaylovich Osipov,M,21.0,187.0,90.0,Soviet Union,1964,Summer,Tokyo,Water Polo,Bronze
Leonid Mikhaylovich Osipov,M,25.0,187.0,90.0,Soviet Union,1968,Summer,Mexico City,Water Polo,Silver
Leonid Mikhaylovich Osipov,M,29.0,187.0,90.0,Soviet Union,1972,Summer,Munich,Water Polo,Gold
Irina Viktorovna Osipova (-Minayeva),F,23.0,187.0,72.0,Russia,2004,Summer,Athina,Basketball,Bronze
Irina Viktorovna Osipova (-Minayeva),F,27.0,187.0,72.0,Russia,2008,Summer,Beijing,Basketball,Bronze
Guntis Osis,M,25.0,183.0,89.0,Soviet Union-2,1988,Winter,Calgary,Bobsleigh,Bronze
Kanybek Osmonaliyevich Osmonaliyev,M,26.0,158.0,52.0,Soviet Union,1980,Summer,Moskva,Weightlifting,Gold
Kaetlyn Osmond,F,18.0,163.0,55.0,Canada,2014,Winter,Sochi,Figure Skating,Silver
Vladimir Yuryevich Osokin,M,22.0,181.0,73.0,Soviet Union,1976,Summer,Montreal,Cycling,Silver
Vladimir Yuryevich Osokin,M,26.0,181.0,73.0,Soviet Union,1980,Summer,Moskva,Cycling,Gold
Rainer Osselmann,M,24.0,186.0,88.0,West Germany,1984,Summer,Los Angeles,Water Polo,Bronze
Marian Wiesaw Ostafiski,M,25.0,181.0,78.0,Poland,1972,Summer,Munich,Football,Gold
Nadezhda Nikolayevna Ostapchuk,F,27.0,180.0,95.0,Belarus,2008,Summer,Beijing,Athletics,Bronze
Aleksey Aleksandrovich Ostapenko,M,22.0,208.0,94.0,Russia,2008,Summer,Beijing,Volleyball,Bronze
"Catherine Leigh ""Cat"" Osterman",F,21.0,188.0,79.0,United States,2004,Summer,Athina,Softball,Gold
"Catherine Leigh ""Cat"" Osterman",F,25.0,188.0,79.0,United States,2008,Summer,Beijing,Softball,Silver
Micheline O. M. Ostermeyer (-Ghazarian),F,25.0,179.0,73.0,France,1948,Summer,London,Athletics,Bronze
Micheline O. M. Ostermeyer (-Ghazarian),F,25.0,179.0,73.0,France,1948,Summer,London,Athletics,Gold
Frank Ostholt,M,32.0,188.0,79.0,Germany,2008,Summer,Beijing,Equestrianism,Gold
Krystyna Ostromcka-Guryn,F,20.0,176.0,62.0,Poland,1968,Summer,Mexico City,Volleyball,Bronze
Denis Oswald,M,21.0,181.0,77.0,Switzerland,1968,Summer,Mexico City,Rowing,Bronze
Roy Edward Oswalt,M,23.0,180.0,77.0,United States,2000,Summer,Sydney,Baseball,Gold
Simone Osygus (-Brune),F,23.0,180.0,65.0,Germany,1992,Summer,Barcelona,Swimming,Bronze
Simone Osygus (-Brune),F,23.0,180.0,65.0,Germany,1992,Summer,Barcelona,Swimming,Silver
Simone Osygus (-Brune),F,27.0,180.0,65.0,Germany,1996,Summer,Atlanta,Swimming,Bronze
Simone Osygus (-Brune),F,27.0,180.0,65.0,Germany,1996,Summer,Atlanta,Swimming,Silver
Inna Volodymyrivna Osypenko-Radomska,F,21.0,166.0,63.0,Ukraine,2004,Summer,Athina,Canoeing,Bronze
Inna Volodymyrivna Osypenko-Radomska,F,25.0,166.0,63.0,Ukraine,2008,Summer,Beijing,Canoeing,Gold
Inna Volodymyrivna Osypenko-Radomska,F,29.0,166.0,63.0,Ukraine,2012,Summer,London,Canoeing,Silver
Inna Volodymyrivna Osypenko-Radomska,F,33.0,166.0,63.0,Azerbaijan,2016,Summer,Rio de Janeiro,Canoeing,Bronze
Istvn Osztrics,M,22.0,183.0,78.0,Hungary,1972,Summer,Munich,Fencing,Gold
"Maureen ""Mo"" O'Toole (Mendoza-)",F,39.0,177.0,64.0,United States,2000,Summer,Sydney,Water Polo,Silver
Akira Ota,M,27.0,180.0,95.0,Japan,1984,Summer,Los Angeles,Wrestling,Silver
Akira Ota,M,31.0,180.0,95.0,Japan,1988,Summer,Seoul,Wrestling,Silver
Shinobu Ota,M,22.0,165.0,65.0,Japan,2016,Summer,Rio de Janeiro,Wrestling,Silver
Takuya Ota,M,26.0,171.0,74.0,Japan,1996,Summer,Atlanta,Wrestling,Bronze
Yuki Ota,M,22.0,171.0,69.0,Japan,2008,Summer,Beijing,Fencing,Silver
Yuki Ota,M,26.0,171.0,69.0,Japan,2012,Summer,London,Fencing,Silver
Sachiko Otani,F,18.0,177.0,78.0,Japan,1984,Summer,Los Angeles,Volleyball,Bronze
Dzhamal Sultanovich Otarsultanov,M,25.0,163.0,55.0,Russia,2012,Summer,London,Wrestling,Gold
Ai Otomo-Yamamoto,F,30.0,184.0,68.0,Japan,2012,Summer,London,Volleyball,Bronze
Otryadyn Gndegmaa,F,30.0,168.0,63.0,Mongolia,2008,Summer,Beijing,Shooting,Silver
Svetla Khristova Otsetova,F,25.0,171.0,62.0,Bulgaria,1976,Summer,Montreal,Rowing,Gold
Mirjam Ott,F,30.0,162.0,58.0,Switzerland,2002,Winter,Salt Lake City,Curling,Silver
Mirjam Ott,F,34.0,162.0,58.0,Switzerland,2006,Winter,Torino,Curling,Silver
"Nikolaus ""Niko"" Ott",M,23.0,185.0,92.0,West Germany,1968,Summer,Mexico City,Rowing,Gold
Patricia Ott (-Stelter),F,24.0,168.0,61.0,West Germany,1984,Summer,Los Angeles,Hockey,Silver
Katharina Otte,F,29.0,170.0,63.0,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Anne Ottenbrite (-Muylaert),F,18.0,175.0,60.0,Canada,1984,Summer,Los Angeles,Swimming,Silver
Anne Ottenbrite (-Muylaert),F,18.0,175.0,60.0,Canada,1984,Summer,Los Angeles,Swimming,Gold
Anne Ottenbrite (-Muylaert),F,18.0,175.0,60.0,Canada,1984,Summer,Los Angeles,Swimming,Bronze
Lasse Ingier Ottesen,M,19.0,182.0,68.0,Norway,1994,Winter,Lillehammer,Ski Jumping,Silver
Jeanette Ottesen Gray,F,28.0,178.0,70.0,Denmark,2016,Summer,Rio de Janeiro,Swimming,Bronze
Merlene Joyce Ottey-Page,F,20.0,175.0,62.0,Jamaica,1980,Summer,Moskva,Athletics,Bronze
Merlene Joyce Ottey-Page,F,24.0,175.0,62.0,Jamaica,1984,Summer,Los Angeles,Athletics,Bronze
Merlene Joyce Ottey-Page,F,32.0,175.0,62.0,Jamaica,1992,Summer,Barcelona,Athletics,Bronze
Merlene Joyce Ottey-Page,F,36.0,175.0,62.0,Jamaica,1996,Summer,Atlanta,Athletics,Silver
Merlene Joyce Ottey-Page,F,36.0,175.0,62.0,Jamaica,1996,Summer,Atlanta,Athletics,Bronze
Merlene Joyce Ottey-Page,F,40.0,175.0,62.0,Jamaica,2000,Summer,Sydney,Athletics,Bronze
Merlene Joyce Ottey-Page,F,40.0,175.0,62.0,Jamaica,2000,Summer,Sydney,Athletics,Silver
"David Charles ""Dave"" Ottley",M,28.0,186.0,95.0,Great Britain,1984,Summer,Los Angeles,Athletics,Silver
Bjrn Otto,M,34.0,191.0,90.0,Germany,2012,Summer,London,Athletics,Silver
Frank Markus Otto,M,25.0,193.0,94.0,West Germany,1984,Summer,Los Angeles,Water Polo,Bronze
Kristin Otto,F,22.0,185.0,70.0,East Germany,1988,Summer,Seoul,Swimming,Gold
Sylke Otto,F,32.0,170.0,64.0,Germany,2002,Winter,Salt Lake City,Luge,Gold
Sylke Otto,F,36.0,170.0,64.0,Germany,2006,Winter,Torino,Luge,Gold
Werner Otto,M,24.0,179.0,83.0,East Germany,1972,Summer,Munich,Cycling,Silver
Margit Otto-Crpin,F,43.0,166.0,52.0,France,1988,Summer,Seoul,Equestrianism,Silver
Anna Helene Ottosson (-Blixth),F,29.0,165.0,64.0,Sweden,2006,Winter,Torino,Alpine Skiing,Bronze
Jan Bo Otto Ottosson,M,23.0,175.0,70.0,Sweden,1984,Winter,Sarajevo,Cross Country Skiing,Gold
Jan Bo Otto Ottosson,M,27.0,175.0,70.0,Sweden,1988,Winter,Calgary,Cross Country Skiing,Gold
Eddy Jean Paul Ottoz (Dimichelis-),M,24.0,179.0,67.0,Italy,1968,Summer,Mexico City,Athletics,Bronze
Christina Brregaard Otzen,F,28.0,168.0,62.0,Denmark,2004,Summer,Athina,Sailing,Bronze
Ou Jingbai,F,25.0,174.0,70.0,China,1996,Summer,Atlanta,Softball,Silver
"Jacob ""Jaap"" Oudkerk",M,27.0,180.0,69.0,Netherlands,1964,Summer,Tokyo,Cycling,Bronze
lodie Oudraogo,F,27.0,175.0,62.0,Belgium,2008,Summer,Beijing,Athletics,Silver
Caroline Ouellette,F,22.0,180.0,77.0,Canada,2002,Winter,Salt Lake City,Ice Hockey,Gold
Caroline Ouellette,F,26.0,180.0,77.0,Canada,2006,Winter,Torino,Ice Hockey,Gold
Caroline Ouellette,F,30.0,180.0,77.0,Canada,2010,Winter,Vancouver,Ice Hockey,Gold
Caroline Ouellette,F,34.0,180.0,77.0,Canada,2014,Winter,Sochi,Ice Hockey,Gold
"Joseph Raymond Gerald ""Gerry"" Ouellette",M,22.0,173.0,82.0,Canada,1956,Summer,Melbourne,Shooting,Gold
Oussama Al-Oueslati,M,20.0,199.0,80.0,Tunisia,2016,Summer,Rio de Janeiro,Taekwondo,Bronze
Wayne Daniel Ough,M,25.0,190.0,95.0,Australia,2004,Summer,Athina,Baseball,Silver
Robert Ouko,M,23.0,173.0,68.0,Kenya,1972,Summer,Munich,Athletics,Gold
Sofiane Oumiha,M,21.0,174.0,60.0,France,2016,Summer,Rio de Janeiro,Boxing,Silver
Sarah Ourahmoune,F,34.0,158.0,51.0,France,2016,Summer,Rio de Janeiro,Boxing,Silver
Sarah Anne Outhwaite-Tait,F,29.0,180.0,70.0,Australia,2012,Summer,London,Rowing,Silver
Nathan Outteridge,M,26.0,179.0,75.0,Australia,2012,Summer,London,Sailing,Gold
Nathan Outteridge,M,30.0,179.0,75.0,Australia,2016,Summer,Rio de Janeiro,Sailing,Silver
Olena Anatolivna Ovcharova-Krasovska,F,27.0,176.0,62.0,Ukraine,2004,Summer,Athina,Athletics,Silver
Yelena Valeryevna Ovchinnikova,F,26.0,173.0,61.0,Russia,2008,Summer,Beijing,Synchronized Swimming,Gold
Jelena Ovchinnikova-ebukina,F,22.0,188.0,77.0,Soviet Union,1988,Summer,Seoul,Volleyball,Gold
Jelena Ovchinnikova-ebukina,F,26.0,188.0,77.0,Unified Team,1992,Summer,Barcelona,Volleyball,Silver
Nadezhda Ovechkina,F,21.0,156.0,59.0,Soviet Union,1980,Summer,Moskva,Hockey,Bronze
Tatyana Nikolayevna Ovechkina (Kabayeva-),F,26.0,174.0,69.0,Soviet Union,1976,Summer,Montreal,Basketball,Gold
Tatyana Nikolayevna Ovechkina (Kabayeva-),F,30.0,174.0,69.0,Soviet Union,1980,Summer,Moskva,Basketball,Gold
Carla Overbeck (Werden-),F,28.0,170.0,56.0,United States,1996,Summer,Atlanta,Football,Gold
Bettina Overesch-Bker-Hoy,F,21.0,166.0,54.0,West Germany,1984,Summer,Los Angeles,Equestrianism,Bronze
Emily Overholt,F,18.0,170.0,55.0,Canada,2016,Summer,Rio de Janeiro,Swimming,Bronze
Amanda Overland,F,24.0,165.0,57.0,Canada,2006,Winter,Torino,Short Track Speed Skating,Silver
Kevin Clifford James Overland (-Crockett),M,23.0,184.0,88.0,Canada,1998,Winter,Nagano,Speed Skating,Bronze
"Stephen Michael John ""Steve"" Ovett",M,24.0,183.0,70.0,Great Britain,1980,Summer,Moskva,Athletics,Gold
"Stephen Michael John ""Steve"" Ovett",M,24.0,183.0,70.0,Great Britain,1980,Summer,Moskva,Athletics,Bronze
Oleg Vladimirovich Ovsyannikov,M,28.0,184.0,75.0,Russia-2,1998,Winter,Nagano,Figure Skating,Silver
Dimitrij Ovtcharov,M,19.0,186.0,78.0,Germany,2008,Summer,Beijing,Table Tennis,Silver
Dimitrij Ovtcharov,M,23.0,186.0,78.0,Germany,2012,Summer,London,Table Tennis,Bronze
Dimitrij Ovtcharov,M,27.0,186.0,78.0,Germany,2016,Summer,Rio de Janeiro,Table Tennis,Bronze
"Edwyn Robert ""Bob"" Owen",M,23.0,180.0,79.0,United States,1960,Winter,Squaw Valley,Ice Hockey,Gold
"Edward ""Eddie"" Owen",M,21.0,170.0,61.0,Great Britain,1908,Summer,London,Athletics,Silver
"Edward ""Eddie"" Owen",M,25.0,170.0,61.0,Great Britain,1912,Summer,Stockholm,Athletics,Bronze
"James Cleveland ""Jesse"" Owens",M,22.0,178.0,71.0,United States,1936,Summer,Berlin,Athletics,Gold
Lily Isabelle Owsley,F,21.0,170.0,70.0,Great Britain,2016,Summer,Rio de Janeiro,Hockey,Gold
Tom Erik Oxholm,M,20.0,183.0,80.0,Norway,1980,Winter,Lake Placid,Speed Skating,Bronze
Chris Andrew Oxspring,M,27.0,184.0,82.0,Australia,2004,Summer,Athina,Baseball,Silver
"Yoshinobu ""Yoshi"" Oyakawa",M,18.0,169.0,70.0,United States,1952,Summer,Helsinki,Swimming,Gold
Mehmet zal,M,30.0,180.0,96.0,Turkey,2004,Summer,Athina,Wrestling,Bronze
Sanja Oegovi (-Gobac),F,21.0,173.0,60.0,Yugoslavia,1980,Summer,Moskva,Basketball,Bronze
Czars Ozers,M,23.0,181.0,81.0,Soviet Union,1960,Summer,Roma,Basketball,Silver
Norbert Wojciech Ozimek,M,23.0,180.0,81.5,Poland,1968,Summer,Mexico City,Weightlifting,Bronze
Norbert Wojciech Ozimek,M,27.0,180.0,81.5,Poland,1972,Summer,Munich,Weightlifting,Silver
Hseyin zkan (Bisultanov-),M,28.0,165.0,68.0,Turkey,2000,Summer,Sydney,Judo,Gold
Sibel zkan,F,20.0,155.0,48.0,Turkey,2008,Summer,Beijing,Weightlifting,Silver
Edvin Sigizmundovich Ozolin,M,21.0,184.0,74.0,Soviet Union,1960,Summer,Roma,Athletics,Silver
Elvra Ozolia (-Lse),F,20.0,176.0,67.0,Soviet Union,1960,Summer,Roma,Athletics,Gold
Dainis Ozols,M,25.0,178.0,74.0,Latvia,1992,Summer,Barcelona,Cycling,Bronze
Andrs Ozsvr,M,23.0,182.0,140.0,Hungary,1980,Summer,Moskva,Judo,Bronze
"Rodney Earland ""Rod"" Paavola",M,20.0,183.0,86.0,United States,1960,Winter,Squaw Valley,Ice Hockey,Gold
Erin Pac (-Blumert),F,29.0,170.0,77.0,United States-2,2010,Winter,Vancouver,Bobsleigh,Bronze
Darrell Owen Pace,M,19.0,180.0,64.0,United States,1976,Summer,Montreal,Archery,Gold
Darrell Owen Pace,M,27.0,180.0,64.0,United States,1984,Summer,Los Angeles,Archery,Gold
Darrell Owen Pace,M,31.0,180.0,64.0,United States,1988,Summer,Seoul,Archery,Silver
Tomas Pasas,M,24.0,188.0,81.0,Lithuania,1996,Summer,Atlanta,Basketball,Bronze
Antonio Pacheco Mass,M,28.0,189.0,94.0,Cuba,1992,Summer,Barcelona,Baseball,Gold
Antonio Pacheco Mass,M,32.0,189.0,94.0,Cuba,1996,Summer,Atlanta,Baseball,Gold
Antonio Pacheco Mass,M,36.0,189.0,94.0,Cuba,2000,Summer,Sydney,Baseball,Silver
Nilton Pacheco de Oliveira,M,28.0,180.0,78.0,Brazil,1948,Summer,London,Basketball,Bronze
Joe Pack,M,23.0,175.0,84.0,United States,2002,Winter,Salt Lake City,Freestyle Skiing,Silver
Jake Packard,M,22.0,195.0,68.0,Australia,2016,Summer,Rio de Janeiro,Swimming,Bronze
Ann Elizabeth Packer (-Brightwell),F,22.0,169.0,57.0,Great Britain,1964,Summer,Tokyo,Athletics,Silver
Ann Elizabeth Packer (-Brightwell),F,22.0,169.0,57.0,Great Britain,1964,Summer,Tokyo,Athletics,Gold
Mrta Pacsai-Megyeri,F,23.0,182.0,74.0,Hungary,1976,Summer,Montreal,Handball,Bronze
Ildik Pdr,F,26.0,178.0,72.0,Hungary,1996,Summer,Atlanta,Handball,Bronze
Ildik Pdr,F,30.0,178.0,72.0,Hungary,2000,Summer,Sydney,Handball,Silver
"Charles William ""Charley"" Paddock",M,19.0,172.0,75.0,United States,1920,Summer,Antwerpen,Athletics,Gold
"Charles William ""Charley"" Paddock",M,19.0,172.0,75.0,United States,1920,Summer,Antwerpen,Athletics,Silver
"Charles William ""Charley"" Paddock",M,23.0,172.0,75.0,United States,1924,Summer,Paris,Athletics,Silver
Nataliya Fyodorovna Paderina (Akhmertdinova-),F,32.0,160.0,56.0,Russia,2008,Summer,Beijing,Shooting,Silver
Willi Padge,M,16.0,168.0,56.0,Germany,1960,Summer,Roma,Rowing,Gold
Juan Padilla Alfonso,M,26.0,177.0,74.0,Cuba,1992,Summer,Barcelona,Baseball,Gold
Juan Padilla Alfonso,M,30.0,177.0,74.0,Cuba,1996,Summer,Atlanta,Baseball,Gold
Pae Gil-Su,M,20.0,163.0,56.0,North Korea,1992,Summer,Barcelona,Gymnastics,Gold
Paek Myong-Suk,F,18.0,175.0,78.0,North Korea,1972,Summer,Munich,Volleyball,Bronze
Jrgen Paeke,M,23.0,169.0,68.0,East Germany,1972,Summer,Munich,Gymnastics,Bronze
Leander Adrian Paes,M,23.0,178.0,77.0,India,1996,Summer,Atlanta,Tennis,Bronze
Bryony Kate Frances Page,F,25.0,172.0,60.0,Great Britain,2016,Summer,Rio de Janeiro,Trampolining,Silver
Danielle Nicole Page,F,29.0,188.0,77.0,Serbia,2016,Summer,Rio de Janeiro,Basketball,Bronze
"Jeremy Louis ""Jerry"" Page",M,23.0,174.0,63.0,United States,1984,Summer,Los Angeles,Boxing,Gold
Malcolm George Page,M,36.0,185.0,71.0,Australia,2008,Summer,Beijing,Sailing,Gold
Malcolm George Page,M,40.0,185.0,71.0,Australia,2012,Summer,London,Sailing,Gold
Michael Owen Page,M,26.0,173.0,60.0,United States,1964,Summer,Tokyo,Equestrianism,Silver
Michael Owen Page,M,30.0,173.0,60.0,United States,1968,Summer,Mexico City,Equestrianism,Bronze
Michael Owen Page,M,30.0,173.0,60.0,United States,1968,Summer,Mexico City,Equestrianism,Silver
Jonathan Paget,M,28.0,190.0,80.0,New Zealand,2012,Summer,London,Equestrianism,Bronze
Marta Pagnini,F,21.0,175.0,58.0,Italy,2012,Summer,London,Rhythmic Gymnastics,Bronze
Olof Samuel Phlsson,M,28.0,181.0,94.0,Sweden,2006,Winter,Torino,Ice Hockey,Gold
Pai Kun-Hong,M,22.0,172.0,72.0,Chinese Taipei,1992,Summer,Barcelona,Baseball,Silver
"Jeffrey ""Jeff"" Pain",M,35.0,190.0,90.0,Canada,2006,Winter,Torino,Skeleton,Silver
Caleb Paine,M,25.0,191.0,98.0,United States,2016,Summer,Rio de Janeiro,Sailing,Bronze
Ludwig Paischer,M,26.0,170.0,60.0,Austria,2008,Summer,Beijing,Judo,Silver
Mariana Pajn Londoo,F,20.0,158.0,50.0,Colombia,2012,Summer,London,Cycling,Gold
Mariana Pajn Londoo,F,24.0,158.0,50.0,Colombia,2016,Summer,Rio de Janeiro,Cycling,Gold
Marc Pajot,M,18.0,183.0,74.0,France,1972,Summer,Munich,Sailing,Silver
Yves Pajot,M,20.0,182.0,73.0,France,1972,Summer,Munich,Sailing,Silver
Pak Chol-Min,M,25.0,169.0,70.0,North Korea,2008,Summer,Beijing,Judo,Bronze
Pak Hyon-Suk,F,23.0,155.0,63.0,North Korea,2008,Summer,Beijing,Weightlifting,Gold
Albert Aleksandrovich Pakeyev,M,28.0,165.0,51.0,Russia,1996,Summer,Atlanta,Boxing,Bronze
Yuliya Vladimirovna Pakhalina,F,23.0,155.0,47.0,Russia,2000,Summer,Sydney,Diving,Gold
Yuliya Vladimirovna Pakhalina,F,26.0,155.0,47.0,Russia,2004,Summer,Athina,Diving,Bronze
Yuliya Vladimirovna Pakhalina,F,26.0,155.0,47.0,Russia,2004,Summer,Athina,Diving,Silver
Yuliya Vladimirovna Pakhalina,F,30.0,155.0,47.0,Russia,2008,Summer,Beijing,Diving,Silver
Olena Ivanivna Pakholchyk,F,31.0,180.0,67.0,Ukraine,1996,Summer,Atlanta,Sailing,Bronze
Olena Ivanivna Pakholchyk,F,35.0,180.0,67.0,Ukraine,2000,Summer,Sydney,Sailing,Bronze
Tibor Pl,M,24.0,168.0,66.0,Hungary,1960,Summer,Roma,Football,Bronze
Laia Palau Alts,F,36.0,181.0,69.0,Spain,2016,Summer,Rio de Janeiro,Basketball,Silver
Iryna Havrylivna Palchykova (Biletska-),F,21.0,178.0,66.0,Soviet Union,1980,Summer,Moskva,Handball,Gold
Dagmar Palekov-vubov,F,25.0,164.0,54.0,Czechoslovakia,1984,Winter,Sarajevo,Cross Country Skiing,Silver
